"","keyword","context","file_name","file_location","website_url"
"1","ordinance","navigation-link""><a class=""wp-block-navigation-item__content""  href=""../borough-government/proposed-ordinances/index.html""><span class=""wp-block-navigation-item__label"">Proposed Ordinances</span></a></li><li c","index.html","Data/www.rutledgepa.org/1-3-2022-council-meeting-agenda-2/index.html","https://www.rutledgepa.org/1-3-2022-council-meeting-agenda-2"
"2","ordinance","h-government/proposed-ordinances/index.html""><span class=""wp-block-navigation-item__label"">Proposed Ordinances</span></a></li><li class="" wp-block-navigation-item wp-block-navigation-link""><a class=""wp-block-n","index.html","Data/www.rutledgepa.org/1-3-2022-council-meeting-agenda-2/index.html","https://www.rutledgepa.org/1-3-2022-council-meeting-agenda-2"
"3","ordinance","ock-navigation-link""><a class=""wp-block-navigation-item__content""  href=""../borough-government/town-ordinances/index.html""><span class=""wp-block-navigation-item__label"">Borough Ordinances</span></a></li><li cl","index.html","Data/www.rutledgepa.org/1-3-2022-council-meeting-agenda-2/index.html","https://www.rutledgepa.org/1-3-2022-council-meeting-agenda-2"
"4","ordinance","orough-government/town-ordinances/index.html""><span class=""wp-block-navigation-item__label"">Borough Ordinances</span></a></li><li class="" wp-block-navigation-item wp-block-navigation-link""><a class=""wp-block-n","index.html","Data/www.rutledgepa.org/1-3-2022-council-meeting-agenda-2/index.html","https://www.rutledgepa.org/1-3-2022-council-meeting-agenda-2"
"5","ordinance"," style=""font-weight: 400;"">CDBG Delaware County Grant Resolution 2023-1 for Codification of Borough Ordinances: Review and Vote on Resolution</span></li> </ul> <p>&nbsp;</p> <p><b>Adjournment</b></p> </div> 	<","index.html","Data/www.rutledgepa.org/1-3-2022-council-meeting-agenda-2/index.html","https://www.rutledgepa.org/1-3-2022-council-meeting-agenda-2"
"6","ordinance","navigation-link""><a class=""wp-block-navigation-item__content""  href=""../borough-government/proposed-ordinances/index.html""><span class=""wp-block-navigation-item__label"">Proposed Ordinances</span></a></li><li c","index.html","Data/www.rutledgepa.org/1-3-2022-council-meeting-agenda/index.html","https://www.rutledgepa.org/1-3-2022-council-meeting-agenda"
"7","ordinance","h-government/proposed-ordinances/index.html""><span class=""wp-block-navigation-item__label"">Proposed Ordinances</span></a></li><li class="" wp-block-navigation-item wp-block-navigation-link""><a class=""wp-block-n","index.html","Data/www.rutledgepa.org/1-3-2022-council-meeting-agenda/index.html","https://www.rutledgepa.org/1-3-2022-council-meeting-agenda"
"8","ordinance","ock-navigation-link""><a class=""wp-block-navigation-item__content""  href=""../borough-government/town-ordinances/index.html""><span class=""wp-block-navigation-item__label"">Borough Ordinances</span></a></li><li cl","index.html","Data/www.rutledgepa.org/1-3-2022-council-meeting-agenda/index.html","https://www.rutledgepa.org/1-3-2022-council-meeting-agenda"
"9","ordinance","orough-government/town-ordinances/index.html""><span class=""wp-block-navigation-item__label"">Borough Ordinances</span></a></li><li class="" wp-block-navigation-item wp-block-navigation-link""><a class=""wp-block-n","index.html","Data/www.rutledgepa.org/1-3-2022-council-meeting-agenda/index.html","https://www.rutledgepa.org/1-3-2022-council-meeting-agenda"
"10","ordinance","navigation-link""><a class=""wp-block-navigation-item__content""  href=""../borough-government/proposed-ordinances/index.html""><span class=""wp-block-navigation-item__label"">Proposed Ordinances</span></a></li><li c","index.html","Data/www.rutledgepa.org/10-17-2022-council-meeting-agenda/index.html","https://www.rutledgepa.org/10-17-2022-council-meeting-agenda"
